sID,nTotal,confidence_rating
3,5,1.25
3,45,2.4285714285714284
6,5,1
6,45,2.4285714285714284
8,5,3
8,45,2.2857142857142856
9,5,2.125
9,45,2.2857142857142856
13,5,2.25
13,45,2.2857142857142856
14,5,2.25
14,45,2.4285714285714284
16,5,1
16,45,2.142857142857143
17,5,2
17,45,1.5714285714285714
23,5,2.875
23,45,1.8571428571428572
27,5,1.125
27,45,2.5714285714285716
28,5,2.857142857142857
28,45,2.2857142857142856
29,5,2.2857142857142856
29,45,2.4285714285714284
30,5,1.25
30,45,2.8333333333333335
32,5,2.7142857142857144
32,45,1.7142857142857142
33,5,1.625
33,45,2.4285714285714284
34,5,1.875
34,45,2.4285714285714284
36,5,2
36,45,2.5714285714285716
37,5,1
37,45,2
39,5,2
39,45,2
40,5,1.1428571428571428
40,45,2.142857142857143
43,5,2.125
43,45,2
44,5,1
44,45,2.5714285714285716
47,5,2.7142857142857144
47,45,2.142857142857143
48,5,1.5
48,45,2
51,5,1
51,45,2.4285714285714284
52,5,1
52,45,2.4285714285714284
54,5,1
54,45,2.4285714285714284
55,5,1
55,45,2.5714285714285716
56,5,1
56,45,2.4285714285714284
58,5,2.142857142857143
58,45,2.4285714285714284
60,5,1.375
60,45,2.2857142857142856
62,5,1.8571428571428572
62,45,1.8571428571428572
63,5,1.25
63,45,2.4285714285714284
64,5,1
64,45,2.2857142857142856
65,5,1.375
65,45,2.7142857142857144
66,5,1
66,45,2.4285714285714284
67,5,1
67,45,2.4285714285714284
68,5,1.125
68,45,2.4285714285714284
70,5,1.75
70,45,2.3333333333333335
71,5,1
71,45,2.857142857142857
73,5,1.375
73,45,2.4285714285714284
76,5,2.75
76,45,2.7142857142857144
79,5,1
79,45,2.2857142857142856
80,5,1
80,45,2
83,5,1.75
83,45,2.4285714285714284
86,5,3
86,45,2
87,5,2
87,45,2.142857142857143
88,5,2
88,45,2
90,5,1.875
90,45,2
91,5,1
91,45,2.4285714285714284
93,5,1.25
93,45,2
95,5,1.125
95,45,2.7142857142857144
96,5,1
96,45,2.142857142857143
97,5,1
97,45,2.2857142857142856
98,5,2
98,45,2.142857142857143
100,5,1
100,45,2.142857142857143
104,5,2.125
104,45,1.7142857142857142
107,5,1.125
107,45,2.142857142857143
109,5,3
109,45,2.5714285714285716
110,5,2
110,45,2.1666666666666665
111,5,1
111,45,2.4285714285714284
114,5,1.125
114,45,2.4285714285714284
115,5,2.25
115,45,1.8571428571428572
117,5,1
117,45,2.2857142857142856
118,5,1.875
118,45,2.5714285714285716
120,5,1
120,45,2.2857142857142856
122,5,1.125
122,45,2
124,5,3
124,45,2.857142857142857
128,5,1.5
128,45,2.142857142857143
130,5,1.125
130,45,2
131,5,1.25
131,45,2.2857142857142856
