nTotal,trueRatio,givenRatio
5,0,0
5,0.125,0.125
5,0.25,0.25
5,0.375,0.375
5,0.5,0.5
5,0.625,0.625
5,0.75,0.75
5,0.875,0.875
5,1,1
25,0,0
25,0.125,0.125
25,0.25,0.25
25,0.375,0.375
25,0.5,0.5
25,0.625,0.625
25,0.75,0.75
25,0.875,0.875
25,1,1
45,0,0
45,0.125,0.125
45,0.25,0.25
45,0.375,0.375
45,0.5,0.5
45,0.625,0.625
45,0.75,0.75
45,0.875,0.875
45,1,1
5,0,0
5,0.125,0
5,0.25,0.1
5,0.375,0.225
5,0.5,0.35
5,0.625,0.475
5,0.75,0.6
5,0.875,0.725
5,1,0.85
25,0,0
25,0.125,0
25,0.25,0.1
25,0.375,0.225
25,0.5,0.35
25,0.625,0.475
25,0.75,0.6
25,0.875,0.725
25,1,0.85
45,0,0
45,0.125,0
45,0.25,0.1
45,0.375,0.225
45,0.5,0.35
45,0.625,0.475
45,0.75,0.6
45,0.875,0.725
45,1,0.85
5,0,0.15
5,0.125,0.275
5,0.25,0.4
5,0.375,0.525
5,0.5,0.65
5,0.625,0.775
5,0.75,0.9
5,0.875,1
5,1,1
25,0,0.15
25,0.125,0.275
25,0.25,0.4
25,0.375,0.525
25,0.5,0.65
25,0.625,0.775
25,0.75,0.9
25,0.875,1
25,1,1
45,0,0.15
45,0.125,0.275
45,0.25,0.4
45,0.375,0.525
45,0.5,0.65
45,0.625,0.775
45,0.75,0.9
45,0.875,1
45,1,1
